method_id,parent_method,benchmark_scope,method_family_raw,method_family,method_origin,implementation_principle,implementation_language,source_or_url,publication_year,reference,is_variant,variant_note,method_order
PCA,PCA,full_26_method_benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,general-purpose or visualization method adapted for scRNA-seq benchmark,PCA achieves dimensionality reduction by projecting high-dimensional data onto low-dimensional principal components with maximum variance through linear transformation,R,stats 4.3.3,1987.0,Pearson 1901; Greenacre et al. 2022,False,,1
GLMPCA,GLMPCA,full_26_method_benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,single-cell-specific,GLMPCA models raw counts using Poisson or negative binomial likelihoods and employs bias residuals for rapid approximate computation,R,https://github.com/xzhoulab/DRComparison/tree/master/data,2019.0,Townes et al. 2019,False,,2
pCMF,pCMF,full_26_method_benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,single-cell-specific,pCMF achieves dimensionality reduction by probabilistically decomposing data through a sparse Gamma-Poisson factor model,R,https://github.com/xzhoulab/DRComparison/tree/master/data,2019.0,Durif et al. 2019,False,,3
ZIFA,ZIFA,full_26_method_benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,single-cell-specific,ZIFA maps high-dimensional data to a low-dimensional space by introducing factor analysis with a zero-inflation model,python,https://github.com/xzhoulab/DRComparison/tree/master/data,2016.0,Pierson and Yau 2015,False,,4
scGBM,scGBM,full_26_method_benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,single-cell-specific,"scGBM directly models data through a Poisson bilinear model, achieving dimensionality reduction by introducing a low-dimensional factor structure in the log-mean representation",R,https://github.com/phillipnicol/scGBM,2023.0,Nicol and Miller 2023,False,,5
SSNMDI,SSNMDI,full_26_method_benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,single-cell-specific,"SSNMDI projects high-dimensional data onto a low-dimensional space through non-negative matrix factorization, integrating data interpolation and label information within the framework to optimize dimensionality reduction",MATLAB,https://github.com/yushanqiu/SSNMDI,2023.0,Qiu et al. 2023,False,,6
tGPLVM,tGPLVM,full_26_method_benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,single-cell-specific,tGPLVM maps high-dimensional data to low dimensions via Gaussian processes and models noise using a heavy-tailed t-distribution,python,https://github.com/architverma1/tGPLVM,2020.0,Verma and Engelhardt 2020,False,,7
VAE,VAE,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,general-purpose or visualization method adapted for scRNA-seq benchmark,"VAE maps high-dimensional data to a low-dimensional latent distribution via an encoder, then reconstructs it using a decoder to maximize the ELBO for dimensionality reduction",python,https://github.com/greenelab/CZI-Latent-Assessment/tree/master/single_cell_analysis,2019.0,Kingma and Welling 2013; Hu and Greene 2019,False,,8
scvis,scvis,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,single-cell-specific,scvis combines variational autoencoders with t-SNE regularization to learn a probabilistic mapping function for dimensionality reduction,python,https://bitbucket.org/jerry00/scvis-dev,2018.0,Ding et al. 2018,False,,9
VASC,VASC,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,single-cell-specific,VASC employs a deep variational autoencoder for dimensionality reduction and utilizes a ZI layer to handle dropout events,python,https://github.com/wang-research/VASC,2018.0,Wang and Gu 2018,False,,10
