method_order,method_id,parent_method,benchmark_scope,method_family,method_origin,implementation_principle,implementation_language,source_or_url,publication_year,reference,is_variant,variant_note
1.0,PCA,PCA,Full benchmark,linear/probabilistic,general-purpose or visualization method adapted for scRNA-seq benchmark,PCA achieves dimensionality reduction by projecting high-dimensional data onto low-dimensional principal components with maximum variance through linear transformation,R,stats 4.3.3,1987.0,Pearson 1901; Greenacre et al. 2022,False,not applicable
2.0,GLMPCA,GLMPCA,Full benchmark,linear/probabilistic,single-cell-specific,GLMPCA models raw counts using Poisson or negative binomial likelihoods and employs bias residuals for rapid approximate computation,R,https://github.com/xzhoulab/DRComparison/tree/master/data,2019.0,Townes et al. 2019,False,not applicable
3.0,pCMF,pCMF,Full benchmark,linear/probabilistic,single-cell-specific,pCMF achieves dimensionality reduction by probabilistically decomposing data through a sparse Gamma-Poisson factor model,R,https://github.com/xzhoulab/DRComparison/tree/master/data,2019.0,Durif et al. 2019,False,not applicable
4.0,ZIFA,ZIFA,Full benchmark,linear/probabilistic,single-cell-specific,ZIFA maps high-dimensional data to a low-dimensional space by introducing factor analysis with a zero-inflation model,python,https://github.com/xzhoulab/DRComparison/tree/master/data,2016.0,Pierson and Yau 2015,False,not applicable
5.0,scGBM,scGBM,Full benchmark,linear/probabilistic,single-cell-specific,"scGBM directly models data through a Poisson bilinear model, achieving dimensionality reduction by introducing a low-dimensional factor structure in the log-mean representation",R,https://github.com/phillipnicol/scGBM,2023.0,Nicol and Miller 2023,False,not applicable
6.0,SSNMDI,SSNMDI,Full benchmark,linear/probabilistic,single-cell-specific,"SSNMDI projects high-dimensional data onto a low-dimensional space through non-negative matrix factorization, integrating data interpolation and label information within the framework to optimize dimensionality reduction",MATLAB,https://github.com/yushanqiu/SSNMDI,2023.0,Qiu et al. 2023,False,not applicable
7.0,tGPLVM,tGPLVM,Full benchmark,linear/probabilistic,single-cell-specific,tGPLVM maps high-dimensional data to low dimensions via Gaussian processes and models noise using a heavy-tailed t-distribution,python,https://github.com/architverma1/tGPLVM,2020.0,Verma and Engelhardt 2020,False,not applicable
8.0,VAE,VAE,Full benchmark,deep generative/autoencoder,general-purpose or visualization method adapted for scRNA-seq benchmark,"VAE maps high-dimensional data to a low-dimensional latent distribution via an encoder, then reconstructs it using a decoder to maximize the ELBO for dimensionality reduction",python,https://github.com/greenelab/CZI-Latent-Assessment/tree/master/single_cell_analysis,2019.0,Kingma and Welling 2013; Hu and Greene 2019,False,not applicable
9.0,scvis,scvis,Full benchmark,deep generative/autoencoder,single-cell-specific,scvis combines variational autoencoders with t-SNE regularization to learn a probabilistic mapping function for dimensionality reduction,python,https://bitbucket.org/jerry00/scvis-dev,2018.0,Ding et al. 2018,False,not applicable
10.0,VASC,VASC,Full benchmark,deep generative/autoencoder,single-cell-specific,VASC employs a deep variational autoencoder for dimensionality reduction and utilizes a ZI layer to handle dropout events,python,https://github.com/wang-research/VASC,2018.0,Wang and Gu 2018,False,not applicable
11.0,SAUCIE,SAUCIE,Full benchmark,deep generative/autoencoder,single-cell-specific,"SAUCIE employs a deep autoencoder with multiple regularization terms to simultaneously accomplish tasks such as dimensionality reduction, denoising, and clustering",python,https://github.com/KrishnaswamyLab/SAUCIE,2019.0,Amodio et al. 2019,False,not applicable
12.0,scScope,scScope,Full benchmark,deep generative/autoencoder,single-cell-specific,scScope employs a deep recurrent autoencoder to iteratively repair missing values in scRNA-seq data while simultaneously performing batch normalization and feature learning,python,https://github.com/xzhoulab/DRComparison/tree/master/data,2019.0,Deng et al. 2019,False,not applicable
13.0,SCDRHA,SCDRHA,Full benchmark,deep generative/autoencoder,single-cell-specific,"SCDRHA first applies DCA for denoising, then employs a graph attention autoencoder for dimensionality reduction",python,https://github.com/WHY-17/SCDRHA,2021.0,Zhao et al. 2021,False,not applicable
14.0,scGAE,scGAE,Full benchmark,deep generative/autoencoder,single-cell-specific,scGAE achieves dimensionality reduction by constructing cell maps and using graph autoencoders,python,https://github.com/ZixiangLuo1161/scGAE,2021.0,Luo et al. 2021,False,not applicable
15.0,DREAM,DREAM,Full benchmark,deep generative/autoencoder,single-cell-specific,"DREAM employs a combination of variational autoencoders and mixture of Gaussians for dimensionality reduction of scRNA-seq data, utilizing a ZI layer to handle dropout events",python,https://github.com/Crystal-JJ/DREAM,2023.0,Jiang et al. 2023,False,not applicable
