method_id,parent_method,benchmark_scope,method_family_raw,method_family,implementation_principle,implementation_language,source_or_url,publication_year,reference,is_variant,variant_note,method_order
PCA,PCA,Full benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,PCA achieves dimensionality reduction by projecting high-dimensional data onto low-dimensional principal components with maximum variance through linear transformation,R,stats 4.3.3,1987.0,"(Greenacre et al., n.d.)",False,,1
GLMPCA,GLMPCA,Full benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,GLMPCA models raw counts using Poisson or negative binomial likelihoods and employs bias residuals for rapid approximate computation,R,https://github.com/xzhoulab/DRComparison/tree/master/data,2019.0,"(Townes et al., 2019)",False,,2
pCMF,pCMF,Full benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,pCMF achieves dimensionality reduction by probabilistically decomposing data through a sparse Gamma-Poisson factor model,R,https://github.com/xzhoulab/DRComparison/tree/master/data,2019.0,"(Durif et al., n.d.)",False,,3
ZIFA,ZIFA,Full benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,ZIFA maps high-dimensional data to a low-dimensional space by introducing factor analysis with a zero-inflation model,python,https://github.com/xzhoulab/DRComparison/tree/master/data,2016.0,"(“ZIFA: Dimensionality reduction for zero-inflated single-cell gene expression analysis,” n.d.)",False,,4
scGBM,scGBM,Full benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,"scGBM directly models data through a Poisson bilinear model, achieving dimensionality reduction by introducing a low-dimensional factor structure in the log-mean representation",R,https://github.com/phillipnicol/scGBM,2023.0,"(Nicol and Miller, 2023)",False,,5
SSNMDI,SSNMDI,Full benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,"SSNMDI projects high-dimensional data onto a low-dimensional space through non-negative matrix factorization, integrating data interpolation and label information within the framework to optimize dimensionality reduction",MATLAB,https://github.com/yushanqiu/SSNMDI,2023.0,"(Qiu et al., 2023)",False,,6
tGPLVM,tGPLVM,Full benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,tGPLVM maps high-dimensional data to low dimensions via Gaussian processes and models noise using a heavy-tailed t-distribution,python,https://github.com/architverma1/tGPLVM,2020.0,"(Verma and Engelhardt, 2020)",False,,7
VAE,VAE,Full benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,"VAE maps high-dimensional data to a low-dimensional latent distribution via an encoder, then reconstructs it using a decoder to maximize the ELBO for dimensionality reduction",python,https://github.com/greenelab/CZI-Latent-Assessment/tree/master/single_cell_analysis,2019.0,"(Hu and Greene, 2019)",False,,8
scvis,scvis,Full benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,scvis combines variational autoencoders with t-SNE regularization to learn a probabilistic mapping function for dimensionality reduction,python,https://bitbucket.org/jerry00/scvis-dev,2018.0,"(Ding et al., 2018)",False,,9
VASC,VASC,Full benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,VASC employs a deep variational autoencoder for dimensionality reduction and utilizes a ZI layer to handle dropout events,python,https://github.com/wang-research/VASC,2018.0,"(Wang and Gu, 2018)",False,,10
SAUCIE,SAUCIE,Full benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,"SAUCIE employs a deep autoencoder with multiple regularization terms to simultaneously accomplish tasks such as dimensionality reduction, denoising, and clustering",python,https://github.com/KrishnaswamyLab/SAUCIE,2019.0,"(Amodio et al., 2019)",False,,11
scScope,scScope,Full benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,scScope employs a deep recurrent autoencoder to iteratively repair missing values in scRNA-seq data while simultaneously performing batch normalization and feature learning,python,https://github.com/xzhoulab/DRComparison/tree/master/data,2019.0,"(Deng et al., 2019)",False,,12
SCDRHA,SCDRHA,Full benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,"SCDRHA first applies DCA for denoising, then employs a graph attention autoencoder for dimensionality reduction",python,https://github.com/WHY-17/SCDRHA,2021.0,"(Zhao et al., 2021)",False,,13
scGAE,scGAE,Full benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,scGAE achieves dimensionality reduction by constructing cell maps and using graph autoencoders,python,https://github.com/ZixiangLuo1161/scGAE,2021.0,"(Luo et al., 2021)",False,,14
DREAM,DREAM,Full benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,"DREAM employs a combination of variational autoencoders and mixture of Gaussians for dimensionality reduction of scRNA-seq data, utilizing a ZI layer to handle dropout events",python,https://github.com/Crystal-JJ/DREAM,2023.0,"(Jiang et al., 2023)",False,,15
DRA,DRA,Full benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,DRA employs adversarial variational autoencoders for dimensionality reduction,python,https://github.com/eugenelin1/DRA,2020.0,"(Lin et al., 2020)",False,,16
UMAP,UMAP,Full benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,UMAP achieves nonlinear dimensionality reduction by constructing a proximity graph in high-dimensional space and optimizing low-dimensional embeddings to preserve its neighborhood structure.,python,https://github.com/lmcinnes/umap,2018.0,"(Becht et al., 2019)",False,,17
SIMLR,SIMLR,Full benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,"SIMLR adaptively learns the optimal similarity matrix between cells through multi-core learning, utilizing this matrix for dimensionality reduction.",R,https://github.com/BatzoglouLabSU/SIMLR,2017.0,"(B. Wang et al., n.d.)",False,,18
PHATE,PHATE,Full benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,PHATE performs dimensionality reduction through multidimensional scaling analysis while preserving geometric information by constructing the diffusion geometry of the data.,python,https://github.com/KrishnaswamyLab/PHATE,2017.0,"(Moon et al., 2019)",False,,19
EDGE,EDGE,Full benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,EDGE constructs an inter-cell similarity matrix by integrating numerous weak learners and performs dimensionality reduction based on this matrix.,R,https://github.com/shawnstat/EDGE,2020.0,"(Sun et al., 2020)",False,,20
SPDR,SPDR,Full benchmark,Graph-Based and Diffusion Geometry Models,graph/diffusion,SPDR achieves dimension reduction that preserves data structure while correcting batch effects by cross-batch sampling triplets and optimizing the loss function.,python,https://github.com/eleozzr/SPDR,2023.0,"(Xu and Li, 2023)",False,,21
IVIS,IVIS,Full benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,Ivis employs a concatenated neural network and triplet loss to map high-dimensional data to low dimensions while supporting rapid embedding of new data points.,python,https://github.com/beringresearch/ivis,2019.0,"(Szubert et al., 2019)",False,,22
PaCMAP,PaCMAP,Full benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,"PaCMAP preserves the neighborhood structure of data while performing dimensionality reduction by constructing three types of point pairs: nearest neighbors, intermediate neighbors, and distant neighbors.",python,https://github.com/YingfanWang/PaCMAP,2021.0,"(Y. Wang et al., n.d.)",False,,23
t-SNE,t-SNE,Full benchmark,Metric Learning and Structure-Aware Embedding,metric/structure-aware,t-SNE transforms the similarity between high-dimensional points into probability distributions and matches these distributions in a low-dimensional space to achieve dimensionality reduction while preserving structural information.,R,Rtsne 0.17,2008.0,"(Hinton and Roweis, n.d.)",False,,24
