method_id,parent_method,benchmark_scope,method_family_raw,method_family,implementation_principle,implementation_language,source_or_url,publication_year,reference,is_variant,variant_note,method_order
PCA,PCA,full_26_method_benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,PCA achieves dimensionality reduction by projecting high-dimensional data onto low-dimensional principal components with maximum variance through linear transformation,R,stats 4.3.3,1987,"(Greenacre et al., n.d.)",False,,1
GLMPCA,GLMPCA,full_26_method_benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,GLMPCA models raw counts using Poisson or negative binomial likelihoods and employs bias residuals for rapid approximate computation,R,https://github.com/xzhoulab/DRComparison/tree/master/data,2019,"(Townes et al., 2019)",False,,2
pCMF,pCMF,full_26_method_benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,pCMF achieves dimensionality reduction by probabilistically decomposing data through a sparse Gamma-Poisson factor model,R,https://github.com/xzhoulab/DRComparison/tree/master/data,2019,"(Durif et al., n.d.)",False,,3
ZIFA,ZIFA,full_26_method_benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,ZIFA maps high-dimensional data to a low-dimensional space by introducing factor analysis with a zero-inflation model,python,https://github.com/xzhoulab/DRComparison/tree/master/data,2016,"(“ZIFA: Dimensionality reduction for zero-inflated single-cell gene expression analysis,” n.d.)",False,,4
scGBM,scGBM,full_26_method_benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,"scGBM directly models data through a Poisson bilinear model, achieving dimensionality reduction by introducing a low-dimensional factor structure in the log-mean representation",R,https://github.com/phillipnicol/scGBM,2023,"(Nicol and Miller, 2023)",False,,5
SSNMDI,SSNMDI,full_26_method_benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,"SSNMDI projects high-dimensional data onto a low-dimensional space through non-negative matrix factorization, integrating data interpolation and label information within the framework to optimize dimensionality reduction",MATLAB,https://github.com/yushanqiu/SSNMDI,2023,"(Qiu et al., 2023)",False,,6
tGPLVM,tGPLVM,full_26_method_benchmark,Linear and Probabilistic Factor Models,linear/probabilistic,tGPLVM maps high-dimensional data to low dimensions via Gaussian processes and models noise using a heavy-tailed t-distribution,python,https://github.com/architverma1/tGPLVM,2020,"(Verma and Engelhardt, 2020)",False,,7
VAE,VAE,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,"VAE maps high-dimensional data to a low-dimensional latent distribution via an encoder, then reconstructs it using a decoder to maximize the ELBO for dimensionality reduction",python,https://github.com/greenelab/CZI-Latent-Assessment/tree/master/single_cell_analysis,2019,"(Hu and Greene, 2019)",False,,8
scvis,scvis,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,scvis combines variational autoencoders with t-SNE regularization to learn a probabilistic mapping function for dimensionality reduction,python,https://bitbucket.org/jerry00/scvis-dev,2018,"(Ding et al., 2018)",False,,9
VASC,VASC,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,VASC employs a deep variational autoencoder for dimensionality reduction and utilizes a ZI layer to handle dropout events,python,https://github.com/wang-research/VASC,2018,"(Wang and Gu, 2018)",False,,10
SAUCIE,SAUCIE,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,"SAUCIE employs a deep autoencoder with multiple regularization terms to simultaneously accomplish tasks such as dimensionality reduction, denoising, and clustering",python,https://github.com/KrishnaswamyLab/SAUCIE,2019,"(Amodio et al., 2019)",False,,11
scScope,scScope,full_26_method_benchmark,Deep Autoencoders and Generative Models,deep generative/autoencoder,scScope employs a deep recurrent autoencoder to iteratively repair missing values in scRNA-seq data while simultaneously performing batch normalization and feature learning,python,https://github.com/xzhoulab/DRComparison/tree/master/data,2019,"(Deng et al., 2019)",False,,12
